countrycode,year,pop1014_fe,pop1014_ma
AFE,2032,53080200,54070220
AFE,2033,53996735,55012442
AFE,2034,54848657,55878196
AFE,2035,55647898,56678825
AFE,2036,56432833,57459523
AFE,2037,57210898,58231612
AFE,2038,57982613,58996563
AFE,2039,58756967,59766437
AFE,2040,59535896,60544764
AFE,2041,60302691,61312061
AFE,2042,61053766,62062515
AFE,2043,61785533,62792961
AFE,2044,62502207,63508217
AFE,2045,63210322,64214780
AFE,2046,63892613,64895595
AFE,2047,64544155,65546023
AFE,2048,65170880,66171911
AFE,2049,65770867,66771396
AFE,2050,66348036,67347671
AFG,1990,670383,696785
AFG,1991,668946,695717
AFG,1992,744765,774808
AFG,1993,857895,892602
AFG,1994,938963,976902
AFG,1995,991692,1031576
AFG,1996,1031811,1073234
AFG,1997,1076293,1119611
AFG,1998,1126508,1172243
AFG,1999,1184278,1233060
AFG,2000,1213898,1264710
AFG,2001,1236336,1288892
AFG,2002,1333334,1390864
AFG,2003,1454196,1517815
AFG,2004,1531487,1599243
AFG,2005,1600743,1672077
AFG,2006,1678114,1753665
AFG,2007,1745909,1826709
AFG,2008,1813630,1899895
AFG,2009,1884698,1976685
AFG,2010,1949410,2047830
AFG,2011,2014962,2119322
AFG,2012,2080111,2189991
AFG,2013,2140673,2255620
AFG,2014,2199404,2318007
AFG,2015,2251931,2373379
AFG,2016,2302697,2426852
AFG,2017,2357074,2483519
AFG,2018,2396332,2524074
AFG,2019,2425038,2553498
AFG,2020,2460777,2589997
AFG,2021,2492770,2622170
AFG,2022,2527332,2656531
AFG,2023,2588084,2717825
AFG,2024,2664124,2795003
AFG,2025,2741681,2873882
AFG,2026,2820575,2954424
AFG,2027,2889636,3024798
AFG,2028,2949505,3085577
AFG,2029,3007133,3143909
AFG,2030,3060937,3197947
AFG,2031,3118518,3255785
AFG,2032,3181079,3318720
AFG,2033,3239640,3377371
AFG,2034,3292629,3430120
AFG,2035,3338187,3474954
AFG,2036,3375065,3510741
AFG,2037,3406107,3540645
AFG,2038,3433912,3567313
AFG,2039,3459556,3591935
AFG,2040,3485493,3617270
AFG,2041,3508514,3639663
AFG,2042,3529177,3659588
AFG,2043,3549432,3679303
AFG,2044,3567764,3697249
AFG,2045,3584390,3713333
AFG,2046,3602135,3730593
AFG,2047,3622391,3750584
AFG,2048,3643741,3771641
AFG,2049,3666294,3793976
AFG,2050,3690471,3818076
AFW,1990,12924203,13153710
AFW,1991,13341390,13579786
AFW,1992,13749875,13997515
AFW,1993,14132495,14390705
AFW,1994,14491899,14761434
AFW,1995,14832341,15112982
AFW,1996,15154471,15446588
AFW,1997,15470404,15774704
AFW,1998,15782685,16099358
AFW,1999,16105822,16436850
AFW,2000,16466567,16814769
AFW,2001,16866423,17231397
AFW,2002,17294605,17675853
AFW,2003,17737485,18138080
AFW,2004,18190344,18612560
AFW,2005,18657819,19100406
AFW,2006,19142232,19605424
AFW,2007,19638190,20122557
AFW,2008,20145524,20649585
AFW,2009,20691191,21216174
AFW,2010,21294802,21846713
AFW,2011,21950865,22535391
AFW,2012,22656354,23274789
AFW,2013,23403986,24056419
AFW,2014,24167597,24852689
AFW,2015,24937482,25651263
AFW,2016,25725472,26464714
AFW,2017,26523742,27285328
AFW,2018,27328535,28111290
AFW,2019,28142023,28947312
AFW,2020,28954578,29780161
AFW,2021,29754645,30597278
AFW,2022,30532783,31392018
AFW,2023,31266695,32138594
AFW,2024,31948141,32828632
AFW,2025,32587520,33478857
AFW,2026,33195024,34101497
AFW,2027,33782883,34707639
AFW,2028,34374776,35321407
AFW,2029,34984893,35953763
AFW,2030,35603819,36591316
AFW,2031,36229030,37230013
AFW,2032,36857371,37865360
AFW,2033,37482011,38492197
AFW,2034,38106601,39116335
AFW,2035,38731167,39738496
AFW,2036,39351154,40355237
AFW,2037,39976398,40978652
AFW,2038,40610029,41612439
AFW,2039,41245751,42249140
AFW,2040,41874428,42878916
AFW,2041,42492228,43497812
AFW,2042,43097745,44104304
AFW,2043,43685130,44692907
AFW,2044,44249824,45258193
AFW,2045,44790591,45798820
AFW,2046,45305188,46313316
AFW,2047,45799772,46807327
AFW,2048,46284496,47290684
AFW,2049,46743799,47748644
AFW,2050,47179032,48183026
AGO,1990,708497,702692
AGO,1991,736243,730744
AGO,1992,765543,760342
AGO,1993,796548,791615
AGO,1994,829650,825042
AGO,1995,864584,860311
AGO,1996,900592,896524
AGO,1997,937161,933065
AGO,1998,973749,969364
AGO,1999,1009762,1004946
AGO,2000,1044853,1039616
AGO,2001,1079270,1073689
AGO,2002,1112899,1107084
AGO,2003,1145892,1139996
AGO,2004,1179147,1173273
AGO,2005,1213101,1207308
AGO,2006,1248276,1242555
AGO,2007,1285518,1279815
AGO,2008,1324975,1319359
AGO,2009,1367158,1361746
AGO,2010,1413405,1408247
AGO,2011,1464517,1459795
AGO,2012,1521080,1517117
AGO,2013,1583294,1580434
AGO,2014,1650675,1649231
AGO,2015,1722612,1722834
AGO,2016,1798083,1800058
AGO,2017,1875944,1879619
AGO,2018,1955600,1960857
AGO,2019,2036455,2043204
AGO,2020,2117195,2125505
AGO,2021,2196972,2206933
AGO,2022,2276141,2287556
AGO,2023,2354397,2367110
AGO,2024,2430709,2444796
AGO,2025,2504499,2520037
AGO,2026,2575715,2592974
AGO,2027,2644259,2663789
AGO,2028,2710535,2732679
AGO,2029,2775629,2800360
AGO,2030,2840841,2868089
AGO,2031,2906428,2935930
AGO,2032,2970183,3001459
AGO,2033,3031297,3063707
AGO,2034,3090508,3123546
AGO,2035,3147563,3180814
AGO,2036,3203459,3236571
AGO,2037,3260192,3293102
AGO,2038,3318505,3351356
AGO,2039,3377583,3410462
AGO,2040,3437419,3470270
AGO,2041,3498032,3530822
AGO,2042,3557975,3590774
AGO,2043,3616701,3649564
AGO,2044,3674769,3707640
AGO,2045,3732231,3765075
AGO,2046,3788936,3821763
AGO,2047,3845352,3878078
AGO,2048,3900314,3932891
AGO,2049,3952984,3985427
AGO,2050,4004721,4037046
ALB,1990,162021,167793
ALB,1991,160941,164719
ALB,1992,160786,162921
ALB,1993,161344,162267
ALB,1994,162218,162362
ALB,1995,163143,162793
ALB,1996,163706,163323
ALB,1997,163782,163864
ALB,1998,163388,164174
ALB,1999,162486,164051
ALB,2000,161147,163545
ALB,2001,158792,161817
ALB,2002,157112,160282
ALB,2003,154945,158049
ALB,2004,152166,155220
ALB,2005,148758,151743
ALB,2006,144581,147730
ALB,2007,139268,143043
ALB,2008,133138,137761
ALB,2009,126797,132205
ALB,2010,120509,126625
ALB,2011,114352,121049
ALB,2012,108716,115740
ALB,2013,103751,110903
ALB,2014,98764,106090
ALB,2015,93883,101278
ALB,2016,90097,97185
ALB,2017,86733,93325
ALB,2018,83712,89533
ALB,2019,81440,86250
ALB,2020,79628,83590
ALB,2021,78696,81885
ALB,2022,78165,80818
ALB,2023,78129,80619
ALB,2024,78213,80477
ALB,2025,77936,79804
ALB,2026,76995,78587
ALB,2027,75243,76815
ALB,2028,72704,74451
ALB,2029,69887,72135
ALB,2030,67370,70345
ALB,2031,65591,69280
ALB,2032,64620,68866
ALB,2033,64336,68941
ALB,2034,64310,69033
ALB,2035,64374,69008
ALB,2036,64321,68841
ALB,2037,63973,68348
ALB,2038,63404,67639
ALB,2039,62707,66815
ALB,2040,61860,65848
ALB,2041,60863,64735
ALB,2042,59727,63490
ALB,2043,58508,62168
ALB,2044,57235,60798
ALB,2045,55926,59395
ALB,2046,54587,57963
ALB,2047,53264,56550
ALB,2048,51961,55161
ALB,2049,50690,53805
ALB,2050,49458,52491
AND,1990,1753,1877
AND,1991,1752,1863
AND,1992,1727,1827
AND,1993,1695,1786
AND,1994,1677,1752
AND,1995,1675,1728
AND,1996,1650,1708
AND,1997,1608,1686
AND,1998,1592,1674
AND,1999,1592,1671
AND,2000,1604,1677
AND,2001,1629,1715
AND,2002,1655,1780
AND,2003,1680,1851
AND,2004,1721,1936
AND,2005,1785,2039
AND,2006,1835,2103
AND,2007,1844,2108
AND,2008,1841,2097
AND,2009,1866,2082
AND,2010,1896,2069
AND,2011,1915,2077
AND,2012,1936,2073
AND,2013,1933,2041
AND,2014,1893,2011
AND,2015,1845,1997
AND,2016,1829,2022
AND,2017,1830,2059
AND,2018,1868,2107
AND,2019,1933,2148
AND,2020,1999,2154
AND,2021,2063,2158
AND,2022,2093,2142
AND,2023,2049,2070
AND,2024,1963,1977
AND,2025,1879,1902
AND,2026,1799,1834
AND,2027,1725,1775
AND,2028,1668,1744
AND,2029,1597,1699
AND,2030,1485,1592
AND,2031,1329,1438
AND,2032,1223,1335
AND,2033,1195,1299
AND,2034,1196,1296
AND,2035,1242,1350
AND,2036,1341,1438
AND,2037,1403,1487
AND,2038,1393,1477
AND,2039,1386,1469
AND,2040,1380,1464
AND,2041,1377,1461
AND,2042,1377,1460
AND,2043,1377,1460
AND,2044,1378,1460
AND,2045,1378,1460
AND,2046,1380,1462
AND,2047,1382,1465
AND,2048,1385,1468
AND,2049,1390,1472
AND,2050,1393,1478
ARB,1990,13613036,14407557
ARB,1991,13977668,14780508
ARB,1992,14400817,15223865
ARB,1993,14847765,15700484
ARB,1994,15279352,16156386
ARB,1995,15672934,16553787
ARB,1996,16046117,16927108
ARB,1997,16372782,17256396
ARB,1998,16659391,17526980
ARB,1999,16912144,17750828
ARB,2000,17122049,17931502
ARB,2001,17296268,18075909
ARB,2002,17471525,18222510
ARB,2003,17659467,18390162
ARB,2004,17843370,18569584
ARB,2005,18014256,18753446
ARB,2006,18138027,18904536
ARB,2007,18207725,19011241
ARB,2008,18274950,19113273
ARB,2009,18357436,19219561
ARB,2010,18455165,19345453
ARB,2011,18591277,19511279
ARB,2012,18787633,19713679
ARB,2013,19078390,19988603
ARB,2014,19424532,20308511
ARB,2015,19770534,20633668
ARB,2016,20144533,20998195
ARB,2017,20592272,21453855
ARB,2018,21117306,22014586
ARB,2019,21688937,22634306
ARB,2020,22307269,23300718
ARB,2021,22953183,23992515
ARB,2022,23576055,24655115
ARB,2023,24151087,25258910
ARB,2024,24670590,25795625
ARB,2025,25093031,26226917
ARB,2026,25351623,26486059
ARB,2027,25468602,26597890
ARB,2028,25508556,26631206
ARB,2029,25491109,26606913
ARB,2030,25450027,26558726
ARB,2031,25444749,26548401
ARB,2032,25471360,26571424
ARB,2033,25497008,26592385
ARB,2034,25533899,26624363
ARB,2035,25577685,26664008
ARB,2036,25640002,26723895
ARB,2037,25733014,26816096
ARB,2038,25842646,26926626
ARB,2039,25966735,27052787
ARB,2040,26107083,27196239
ARB,2041,26259252,27352468
ARB,2042,26429181,27527268
ARB,2043,26622058,27726170
ARB,2044,26832562,27943677
ARB,2045,27053617,28172238
ARB,2046,27278800,28405237
ARB,2047,27497478,28631763
ARB,2048,27697274,28838588
ARB,2049,27876614,29024059
ARB,2050,28037964,29190893
ARE,1990,72551,82128
ARE,1991,76623,84381
ARE,1992,80619,87240
ARE,1993,84788,91228
ARE,1994,89152,96324
ARE,1995,93634,102310
ARE,1996,100333,114005
ARE,1997,107322,126073
ARE,1998,110717,129550
ARE,1999,111156,127157
ARE,2000,109821,121944
ARE,2001,108282,117045
ARE,2002,107812,114747
ARE,2003,108979,115944
ARE,2004,111852,120466
ARE,2005,117913,131130
ARE,2006,128986,150587
ARE,2007,143168,174014
ARE,2008,156380,193604
ARE,2009,165367,203820
ARE,2010,165514,214517
ARE,2011,160053,227110
ARE,2012,155833,229358
ARE,2013,153269,219770
ARE,2014,152440,201009
ARE,2015,153685,179960
ARE,2016,157292,164696
ARE,2017,163812,160675
ARE,2018,173494,169042
ARE,2019,185088,186440
ARE,2020,197548,207546
ARE,2021,210343,226654
ARE,2022,222470,240711
ARE,2023,232685,249992
ARE,2024,239802,255176
ARE,2025,242916,257109
ARE,2026,242037,256773
ARE,2027,238446,255142
ARE,2028,234110,253152
ARE,2029,231112,251752
ARE,2030,230549,250927
ARE,2031,231525,249977
ARE,2032,232353,248213
ARE,2033,232142,245327
ARE,2034,230223,241259
ARE,2035,226440,236476
ARE,2036,221967,231756
ARE,2037,217837,227407
ARE,2038,213945,223311
ARE,2039,210014,219179
ARE,2040,206127,215105
ARE,2041,202604,211414
ARE,2042,199955,208639
ARE,2043,198364,206971
ARE,2044,197946,206530
ARE,2045,198899,207517
ARE,2046,201191,209902
ARE,2047,204668,213526
ARE,2048,209205,218261
ARE,2049,214637,223931
ARE,2050,220812,230376
ARG,1990,1581963,1648676
ARG,1991,1600150,1667039
ARG,1992,1610680,1676177
ARG,1993,1615301,1678564
ARG,1994,1616168,1678090
ARG,1995,1615708,1678084
ARG,1996,1616414,1680631
ARG,1997,1619861,1686880
ARG,1998,1626493,1696572
ARG,1999,1635877,1708531
ARG,2000,1649084,1723846
ARG,2001,1665351,1741967
ARG,2002,1682156,1760480
ARG,2003,1699391,1779190
ARG,2004,1716766,1798031
ARG,2005,1729539,1812144
ARG,2006,1734429,1817792
ARG,2007,1732773,1816506
ARG,2008,1726332,1810527
ARG,2009,1718619,1803239
ARG,2010,1698932,1783117
ARG,2011,1695812,1780301
ARG,2012,1694438,1779276
ARG,2013,1693614,1778723
ARG,2014,1691157,1776538
ARG,2015,1690239,1776707
ARG,2016,1693838,1782832
ARG,2017,1699890,1792369
ARG,2018,1707944,1803830
ARG,2019,1719302,1818097
ARG,2020,1733809,1834998
ARG,2021,1751349,1854312
ARG,2022,1771244,1875390
ARG,2023,1786833,1891596
ARG,2024,1800826,1906003
ARG,2025,1811504,1916399
ARG,2026,1815608,1919077
ARG,2027,1808861,1909490
ARG,2028,1785494,1882121
ARG,2029,1747710,1839930
ARG,2030,1699615,1787327
ARG,2031,1647065,1730530
ARG,2032,1601167,1681384
ARG,2033,1568669,1646758
ARG,2034,1547905,1624558
ARG,2035,1535973,1611736
ARG,2036,1531739,1607021
ARG,2037,1529476,1604416
ARG,2038,1527951,1602693
ARG,2039,1527043,1601657
ARG,2040,1526372,1600856
ARG,2041,1525178,1599562
ARG,2042,1523724,1598036
ARG,2043,1522690,1596954
ARG,2044,1521906,1596158
ARG,2045,1521019,1595273
ARG,2046,1520074,1594316
ARG,2047,1518864,1593099
ARG,2048,1516251,1590448
ARG,2049,1511794,1585875
ARG,2050,1505850,1579725
ARM,1990,153984,155250
ARM,1991,158106,159738
ARM,1992,158393,158833
ARM,1993,156592,154855
ARM,1994,157536,154385
ARM,1995,160514,156188
ARM,1996,164001,158777
ARM,1997,166610,161753
ARM,1998,167727,164230
ARM,1999,167058,164477
ARM,2000,165824,164137
ARM,2001,164757,164158
ARM,2002,163596,163359
ARM,2003,160241,160233
ARM,2004,153291,154162
ARM,2005,143022,145234
ARM,2006,130978,134887
ARM,2007,119024,124699
ARM,2008,108735,115893
ARM,2009,100889,109190
ARM,2010,94521,103594
ARM,2011,89200,98725
ARM,2012,84895,94577
ARM,2013,81952,91588
ARM,2014,80507,90023
ARM,2015,80385,89818
ARM,2016,80221,89494
ARM,2017,79947,89014
ARM,2018,80376,89318
ARM,2019,81522,90415
ARM,2020,82996,91971
ARM,2021,85184,94421
ARM,2022,88622,98342
ARM,2023,92004,102207
ARM,2024,94784,105287
ARM,2025,96737,107356
ARM,2026,97958,108552
ARM,2027,97661,108014
ARM,2028,95814,105745
ARM,2029,92878,102300
ARM,2030,89505,98406
ARM,2031,86319,94755
ARM,2032,83203,91197
ARM,2033,80398,87958
ARM,2034,77679,84765
ARM,2035,75202,81804
ARM,2036,73009,79144
ARM,2037,71041,76743
ARM,2038,69256,74574
ARM,2039,67654,72646
ARM,2040,66229,70951
ARM,2041,64960,69463
ARM,2042,63896,68230
ARM,2043,63056,67264
ARM,2044,62388,66500
ARM,2045,61907,65951
ARM,2046,61622,65623
ARM,2047,61473,65445
ARM,2048,61395,65350
ARM,2049,61398,65346
ARM,2050,61447,65395
ASM,1990,2390,2737
ASM,1991,2456,2780
ASM,1992,2526,2817
ASM,1993,2598,2855
ASM,1994,2670,2898
ASM,1995,2740,2945
ASM,1996,2806,2993
ASM,1997,2875,3048
ASM,1998,2958,3114
ASM,1999,3064,3198
ASM,2000,3178,3298
ASM,2001,3291,3412
ASM,2002,3409,3539
ASM,2003,3519,3661
ASM,2004,3594,3749
ASM,2005,3614,3770
ASM,2006,3567,3710
ASM,2007,3456,3579
ASM,2008,3306,3405
ASM,2009,3148,3231
ASM,2010,2999,3086
ASM,2011,2866,2982
ASM,2012,2752,2909
ASM,2013,2650,2852
ASM,2014,2555,2797
ASM,2015,2467,2731
ASM,2016,2384,2649
ASM,2017,2309,2552
ASM,2018,2246,2444
ASM,2019,2195,2334
ASM,2020,2129,2223
ASM,2021,2036,2111
ASM,2022,1988,2060
ASM,2023,1979,2072
ASM,2024,1951,2081
ASM,2025,1932,2087
ASM,2026,1931,2088
ASM,2027,1923,2082
ASM,2028,1906,2063
ASM,2029,1878,2029
ASM,2030,1843,1985
ASM,2031,1806,1937
ASM,2032,1766,1887
ASM,2033,1724,1836
ASM,2034,1682,1786
ASM,2035,1634,1735
ASM,2036,1584,1681
ASM,2037,1533,1626
ASM,2038,1482,1573
ASM,2039,1434,1522
ASM,2040,1387,1472
ASM,2041,1341,1423
ASM,2042,1296,1376
ASM,2043,1254,1331
ASM,2044,1214,1288
ASM,2045,1176,1248
ASM,2046,1142,1212
ASM,2047,1114,1181
ASM,2048,1089,1155
ASM,2049,1069,1133
ASM,2050,1053,1116
ATG,1990,3008,3019
ATG,1991,3008,3018
ATG,1992,3038,3030
ATG,1993,3087,3057
ATG,1994,3140,3098
ATG,1995,3197,3116
ATG,1996,3271,3134
ATG,1997,3339,3172
ATG,1998,3388,3205
ATG,1999,3431,3236
ATG,2000,3484,3289
ATG,2001,3512,3334
ATG,2002,3502,3363
ATG,2003,3511,3398
ATG,2004,3541,3435
ATG,2005,3562,3486
ATG,2006,3597,3562
ATG,2007,3646,3631
ATG,2008,3645,3656
ATG,2009,3593,3632
ATG,2010,3550,3604
ATG,2011,3508,3575
ATG,2012,3434,3511
ATG,2013,3373,3457
ATG,2014,3335,3424
ATG,2015,3262,3350
ATG,2016,3179,3265
ATG,2017,3142,3229
ATG,2018,3165,3253
ATG,2019,3231,3322
ATG,2020,3263,3357
ATG,2021,3257,3350
ATG,2022,3223,3315
ATG,2023,3114,3204
ATG,2024,2958,3045
ATG,2025,2849,2934
ATG,2026,2771,2854
ATG,2027,2699,2780
ATG,2028,2644,2724
ATG,2029,2606,2684
ATG,2030,2593,2672
ATG,2031,2611,2691
ATG,2032,2642,2723
ATG,2033,2685,2768
ATG,2034,2729,2812
ATG,2035,2735,2818
ATG,2036,2720,2803
ATG,2037,2701,2785
ATG,2038,2682,2767
ATG,2039,2664,2749
ATG,2040,2646,2730
ATG,2041,2627,2710
ATG,2042,2604,2686
ATG,2043,2579,2660
ATG,2044,2553,2633
ATG,2045,2524,2603
ATG,2046,2493,2571
ATG,2047,2462,2539
ATG,2048,2430,2506
ATG,2049,2398,2474
ATG,2050,2368,2443
AUS,1990,602511,636116
AUS,1991,604209,638621
AUS,1992,609023,643475
AUS,1993,614638,648856
AUS,1994,621625,655176
AUS,1995,628984,661537
AUS,1996,634714,666539
AUS,1997,637373,668462
AUS,1998,639367,669925
AUS,1999,643377,674230
AUS,2000,648994,680826
AUS,2001,656349,689160
AUS,2002,662690,696588
AUS,2003,667977,703550
AUS,2004,671252,708102
AUS,2005,673186,710393
AUS,2006,672703,709828
AUS,2007,672760,709934
AUS,2008,673211,710441
AUS,2009,674936,711706
AUS,2010,675162,710976
AUS,2011,675398,710597
AUS,2012,677704,712681
AUS,2013,680263,715490
AUS,2014,682723,719243
AUS,2015,687354,725516
AUS,2016,698288,737815
AUS,2017,716116,757169
AUS,2018,735851,778032
AUS,2019,754877,797040
AUS,2020,770388,812108
AUS,2021,773847,815057
AUS,2022,781681,823095
AUS,2023,785620,827186
AUS,2024,787936,829528
AUS,2025,789470,831379
AUS,2026,790268,832834
AUS,2027,787192,830192
AUS,2028,780907,824142
AUS,2029,775656,819109
AUS,2030,768506,811700
AUS,2031,759647,802025
AUS,2032,755141,796671
AUS,2033,754171,795007
AUS,2034,753345,793666
AUS,2035,754603,794699
AUS,2036,758169,798190
AUS,2037,760993,800957
AUS,2038,763110,803034
AUS,2039,764232,804071
AUS,2040,764384,804101
AUS,2041,763904,803483
AUS,2042,762706,802104
AUS,2043,761147,800350
AUS,2044,760265,799343
AUS,2045,760094,799098
AUS,2046,760455,799429
AUS,2047,762002,801035
AUS,2048,764434,803559
AUS,2049,767068,806272
AUS,2050,770125,809442
AUT,1990,212141,224246
AUT,1991,215930,228663
AUT,1992,222988,235701
AUT,1993,229018,241420
AUT,1994,232718,244465
AUT,1995,234054,245085
AUT,1996,232683,243369
AUT,1997,229970,240848
AUT,1998,228254,239734
AUT,1999,228353,240263
AUT,2000,229483,241364
AUT,2001,231943,243750
AUT,2002,234688,247084
AUT,2003,236876,249419
AUT,2004,237994,250384
AUT,2005,237225,249706
AUT,2006,234878,247118
AUT,2007,231243,242825
AUT,2008,226263,237175
AUT,2009,220413,231035
AUT,2010,215123,225625
AUT,2011,209788,220421
AUT,2012,205416,216113
AUT,2013,203092,213741
AUT,2014,202353,213116
AUT,2015,203305,214581
AUT,2016,205115,216438
AUT,2017,205967,216815
AUT,2018,205918,216772
AUT,2019,205878,216762
AUT,2020,205833,216731
AUT,2021,205995,217540
AUT,2022,207402,219910
AUT,2023,207649,220321
AUT,2024,208428,221291
AUT,2025,209576,223070
AUT,2026,211624,225154
AUT,2027,214392,227781
AUT,2028,216375,229639
AUT,2029,216797,229538
AUT,2030,215811,227900
AUT,2031,214192,225845
AUT,2032,212302,223498
AUT,2033,210876,221791
AUT,2034,210302,221329
AUT,2035,210239,221375
AUT,2036,209631,220810
AUT,2037,208363,219529
AUT,2038,206769,217888
AUT,2039,204927,215981
AUT,2040,202806,213771
AUT,2041,200437,211293
AUT,2042,198029,208771
AUT,2043,195615,206242
AUT,2044,193296,203812
AUT,2045,191175,201582
AUT,2046,189220,199529
AUT,2047,187406,197631
AUT,2048,185826,195979
AUT,2049,184534,194626
AUT,2050,183464,193502
AZE,1990,344339,349268
AZE,1991,350211,359654
AZE,1992,359504,373614
AZE,1993,372841,389651
AZE,1994,387917,403168
AZE,1995,402356,414047
AZE,1996,415550,424078
AZE,1997,428280,433346
AZE,1998,440081,441321
AZE,1999,449665,449052
AZE,2000,456238,455854
AZE,2001,458844,458618
AZE,2002,457459,457477
AZE,2003,452535,453159
AZE,2004,444105,446015
AZE,2005,431112,435770
AZE,2006,413866,422812
AZE,2007,394240,407842
AZE,2008,377269,394723
AZE,2009,360239,380311
AZE,2010,341380,363392
AZE,2011,325598,349457
AZE,2012,314061,339541
AZE,2013,307405,334599
AZE,2014,305289,335289
AZE,2015,307992,342234
AZE,2016,315985,355308
AZE,2017,328277,373131
AZE,2018,342856,393327
AZE,2019,357886,412974
AZE,2020,372610,430801
AZE,2021,386476,446834
AZE,2022,397171,458872
AZE,2023,407534,470166
AZE,2024,415307,478133
AZE,2025,419300,481506
AZE,2026,417019,477532
AZE,2027,404668,462079
AZE,2028,384780,438161
AZE,2029,364869,414324
AZE,2030,344402,390002
AZE,2031,323540,365392
AZE,2032,308680,347670
AZE,2033,298744,335511
AZE,2034,287788,322152
AZE,2035,278401,310565
AZE,2036,273043,303514
AZE,2037,269552,298500
AZE,2038,267700,295295
AZE,2039,267420,293864
AZE,2040,268672,294141
AZE,2041,271039,295644
AZE,2042,274164,297993
AZE,2043,277852,300989
AZE,2044,281703,304199
AZE,2045,285147,307026
AZE,2046,287927,309227
AZE,2047,289796,310540
AZE,2048,290467,310650
AZE,2049,289742,309357
AZE,2050,287732,306780
BDI,1990,345192,344648
BDI,1991,360788,360402
BDI,1992,378884,378736
BDI,1993,390998,391099
BDI,1994,405734,405794
BDI,1995,423401,423588
BDI,1996,431721,432540
BDI,1997,437662,439130
BDI,1998,445493,447366
BDI,1999,453370,455473
BDI,2000,460652,462908
BDI,2001,468211,470406
BDI,2002,475936,477940
BDI,2003,484546,486317
BDI,2004,483827,485317
BDI,2005,481458,482732
BDI,2006,487655,488795
BDI,2007,490987,491958
BDI,2008,490856,491685
BDI,2009,502601,503384
BDI,2010,518481,519393
BDI,2011,527728,529003
BDI,2012,545007,546694
BDI,2013,570908,572955
BDI,2014,601090,603425
BDI,2015,633570,636189
BDI,2016,669387,672286
BDI,2017,708286,711451
BDI,2018,748821,752222
BDI,2019,790272,793959
BDI,2020,831861,835994
BDI,2021,871569,876195
BDI,2022,906467,911617
BDI,2023,936600,942352
BDI,2024,961180,967585
BDI,2025,978370,985460
BDI,2026,987365,995177
BDI,2027,990446,998937
BDI,2028,990108,999153
BDI,2029,988605,998043
BDI,2030,987601,997341
BDI,2031,989792,999815
BDI,2032,996406,1006671
BDI,2033,1005163,1015560
BDI,2034,1014280,1024616
BDI,2035,1022771,1032833
BDI,2036,1032066,1041692
