countrycode,countryname,indicator_id,year,type,metadata,indicator_label_en,value,magnitude,qualifier,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,cmu,_merge
AFG,Afghanistan,ADMI.ENDOFPRIM.READ,2020,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.MAT,2015,Source:Data sources,Monitoring Trends in Educational Growth (MTEG) (2013), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.READ,2015,Source:Data sources,Monitoring Trends in Educational Growth (MTEG) (2013), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.READ,2021,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.READ,2014,Source:Data sources,Monitoring Trends in Educational Growth (MTEG) (2013), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.MAT,2018,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.READ,2022,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.READ,2018,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.MAT,2017,Source:Data sources,Monitoring Trends in Educational Growth (MTEG) (2013), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.MAT,2014,Source:Data sources,Monitoring Trends in Educational Growth (MTEG) (2013), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.READ,2017,Source:Data sources,Monitoring Trends in Educational Growth (MTEG) (2013), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.MAT,2022,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.MAT,2021,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.MAT,2015,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.READ,2016,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.MAT,2020,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.MAT,2022,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.READ,2015,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.READ,2019,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.READ,2020,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.MAT,2018,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.READ,2021,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.READ,2022,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.READ,2014,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.MAT,2014,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.MAT,2019,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.MAT,2017,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.MAT,2016,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.READ,2017,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
AGO,Angola,ADMI.ENDOFPRIM.READ,2018,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,AFCC1,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.READ,2022,Source:Data sources,National Assessment of Student Achievement (2018); National Assessment of Student Achievement (2019); Progress in International Reading Literacy Study(PIRLS) (2021); Vleresimin e Arritjeve te Nxenesve te Arsimit Fillor (2021), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.MAT,2022,Source:Data sources,National Assessment of Student Achievement (2018); National Assessment of Student Achievement (2019); Trends in International Mathematics and Science Study (TIMSS) G4 (2019); Vleresimin e Arritjeve te Nxenesve te Arsimit Fillor (2021), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.READ,2017,Source:Data sources,National Assessment of Student Achievement (2014); National Assessment of Student Achievement (2015); National Assessment of Student Achievement (2016); National Assessment of Student Achievement (2017), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.MAT,2016,Source:Data sources,National Assessment of Student Achievement (2014); National Assessment of Student Achievement (2015); National Assessment of Student Achievement (2016), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.MAT,2019,Source:Data sources,National Assessment of Student Achievement (2015); National Assessment of Student Achievement (2016); National Assessment of Student Achievement (2017); National Assessment of Student Achievement (2018); National Assessment of Student Achievement (2019); Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.READ,2021,Source:Data sources,National Assessment of Student Achievement (2017); National Assessment of Student Achievement (2018); National Assessment of Student Achievement (2019); Progress in International Reading Literacy Study(PIRLS) (2021); Vleresimin e Arritjeve te Nxenesve te Arsimit Fillor (2021), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.READ,2015,Source:Data sources,National Assessment of Student Achievement (2014); National Assessment of Student Achievement (2015), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.READ,2020,Source:Data sources,National Assessment of Student Achievement (2016); National Assessment of Student Achievement (2017); National Assessment of Student Achievement (2018); National Assessment of Student Achievement (2019), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.MAT,2015,Source:Data sources,National Assessment of Student Achievement (2014); National Assessment of Student Achievement (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.READ,2018,Source:Data sources,National Assessment of Student Achievement (2014); National Assessment of Student Achievement (2015); National Assessment of Student Achievement (2016); National Assessment of Student Achievement (2017); National Assessment of Student Achievement (2018), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.MAT,2017,Source:Data sources,National Assessment of Student Achievement (2014); National Assessment of Student Achievement (2015); National Assessment of Student Achievement (2016); National Assessment of Student Achievement (2017), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.READ,2014,Source:Data sources,National Assessment of Student Achievement (2014), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.MAT,2021,Source:Data sources,National Assessment of Student Achievement (2017); National Assessment of Student Achievement (2018); National Assessment of Student Achievement (2019); Trends in International Mathematics and Science Study (TIMSS) G4 (2019); Vleresimin e Arritjeve te Nxenesve te Arsimit Fillor (2021), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.READ,2016,Source:Data sources,National Assessment of Student Achievement (2014); National Assessment of Student Achievement (2015); National Assessment of Student Achievement (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.MAT,2014,Source:Data sources,National Assessment of Student Achievement (2014), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.MAT,2020,Source:Data sources,National Assessment of Student Achievement (2016); National Assessment of Student Achievement (2017); National Assessment of Student Achievement (2018); National Assessment of Student Achievement (2019); Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.READ,2019,Source:Data sources,National Assessment of Student Achievement (2015); National Assessment of Student Achievement (2016); National Assessment of Student Achievement (2017); National Assessment of Student Achievement (2018); National Assessment of Student Achievement (2019), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
ALB,Albania,ADMI.ENDOFPRIM.MAT,2018,Source:Data sources,National Assessment of Student Achievement (2014); National Assessment of Student Achievement (2015); National Assessment of Student Achievement (2016); National Assessment of Student Achievement (2017); National Assessment of Student Achievement (2018), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,ECCWB,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.MAT,2016,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.READ,2022,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.READ,2019,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.MAT,2019,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.READ,2014,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.READ,2018,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.MAT,2021,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.READ,2020,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.MAT,2018,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.READ,2015,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.MAT,2020,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.READ,2021,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.MAT,2015,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.READ,2016,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.READ,2017,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.MAT,2022,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.MAT,2014,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
AND,Andorra,ADMI.ENDOFPRIM.MAT,2017,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
ARE,United Arab Emirates,ADMI.ENDOFPRIM.MAT,2022,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,MNC05,Matched (3)
ARE,United Arab Emirates,ADMI.ENDOFPRIM.READ,2018,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,MNC05,Matched (3)
ARE,United Arab Emirates,ADMI.ENDOFPRIM.READ,2014,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2011), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,MNC05,Matched (3)
ARE,United Arab Emirates,ADMI.ENDOFPRIM.MAT,2014,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2011), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,MNC05,Matched (3)
ARE,United Arab Emirates,ADMI.ENDOFPRIM.MAT,2019,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2015); Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,MNC05,Matched (3)
ARE,United Arab Emirates,ADMI.ENDOFPRIM.MAT,2018,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,MNC05,Matched (3)
ARE,United Arab Emirates,ADMI.ENDOFPRIM.READ,2022,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2021), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,MNC05,Matched (3)
ARE,United Arab Emirates,ADMI.ENDOFPRIM.MAT,2016,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,MNC05,Matched (3)
ARE,United Arab Emirates,ADMI.ENDOFPRIM.READ,2016,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,MNC05,Matched (3)
